27	67068,1;67383,1;69538,1;69542,1;70161,1;70163,1;70165,1;71840,1;72396,1;73437,1
avril	67068,1;67383,1;67555,1;68640,1;68889,1;69186,1;69543,1;70165,1;70167,1;72393,1;72399,1;72934,1;72936,1;73188,1;73189,1;75459,2;75462,1;75794,1;76209,1;76509,1;76511,1
dernier	67068,1;67383,1;67553,2;67554,2;67555,2;67795,1;67798,1;67804,1;67937,2;67939,2;67942,2;68274,1;68277,1;68278,1;68384,1;68385,1;68386,3;68387,1;68388,1;68389,1;68638,1;68639,1;68640,1;68641,1;68643,1;68881,1;68884,1;68887,1;68888,1;69177,3;69179,2;69180,1;69181,1;69184,1;69185,1;69533,3;69534,1;69535,2;69538,1;69541,1;69811,1;69812,1;70161,1;70162,2;70165,1;70166,2;70167,1;70421,1;70743,1;70745,1;70746,1;70914,1;70915,1;70916,1;70917,3;70918,1;70919,1;70922,1;71357,1;71358,1;71361,1;71362,1;71612,1;71614,1;71615,1;71617,3;71836,1;71837,1;72113,1;72392,1;72394,2;72396,3;72630,2;72633,2;72636,1;72932,2;72933,1;72936,1;73182,1;73183,1;73184,2;73185,1;73186,1;73187,1;73188,1;73189,1;73430,1;73431,1;73434,2;73435,1;73437,1;73683,1;73685,1;73687,2;73688,1;73875,1;73877,1;73879,1;74170,1;74449,2;74450,1;74452,1;74454,1;74746,3;74748,4;75067,2;75068,1;75069,1;75458,1;75788,1;76209,1;76509,1;76511,1
cnrs	67068,3;67071,1;67383,3;67385,1;67387,2;67390,1;67391,1;67558,1;67800,1;67802,2;67937,2;67943,2;67945,1;68277,1;68278,1;68280,2;68384,1;68385,1;68388,1;68389,2;68390,3;68391,1;68641,2;68642,2;68644,2;68645,3;68646,1;68883,1;68886,2;68887,1;69178,1;69180,1;69181,1;69182,1;69183,2;69184,1;69533,2;69539,1;69540,1;69814,2;69816,1;69819,3;70420,1;70425,2;70426,2;70743,1;70744,2;70745,2;70747,2;70748,1;70916,1;70922,1;71615,1;71838,1;71841,1;71843,1;72121,1;72632,1;72634,1;72635,2;72932,1;72939,2;72940,2;73186,2;73188,1;73189,2;73434,1;73436,1;73683,2;73688,2;74173,2;74452,2;74750,3;75066,1;75067,2;75070,1;75458,1;75460,1;75794,2
fois	67068,1;67383,3;67388,3;67389,1;67553,1;67554,2;67555,1;67558,3;67799,1;67801,2;67802,1;67939,5;67943,1;68276,1;68385,1;68638,1;68642,1;68644,1;68885,2;68886,1;69533,1;69534,2;69535,1;69540,3;69812,3;69813,1;69815,1;69817,1;69819,1;69820,1;70163,1;70166,1;70167,2;70170,1;70421,1;70743,2;70745,1;70746,1;70747,1;70914,1;70920,1;70922,1;71357,4;71358,1;71359,3;71366,1;71842,1;72121,1;72401,2;72630,3;72635,1;72934,2;73190,1;73432,1;73434,2;73685,2;73881,1;73884,2;74170,1;74171,2;74175,1;74449,1;74456,1;75067,1;75069,1;75794,2;76515,1
innovation	67068,3;67383,6;67561,1;67946,1;68273,1;68279,2;68383,7;68384,2;68393,1;68639,3;68640,1;68642,2;68885,1;69536,1;70162,1;70168,2;70748,1;70751,1;70752,1;70753,1;70921,1;71359,2;71361,2;71620,1;71840,1;72120,3;72122,2;72395,12;72400,5;72633,2;72933,2;72938,1;73190,2;73438,3;73687,1;73689,3;73876,2;73879,1;73882,2;73883,2;74167,2;74171,1;74172,2;74176,6;74744,3;74748,10;74750,1;75066,14;75068,3;75069,1;75071,1;75465,1;75466,2;75797,2;76211,4;76212,4;76213,1
dont	67068,2;67383,1;67386,2;67387,3;67388,4;67553,1;67555,1;67556,1;67557,1;67558,1;67797,1;67798,3;67801,1;67802,2;67939,4;67940,1;67941,1;67943,1;68273,1;68276,2;68277,1;68279,2;68383,2;68386,1;68387,1;68388,2;68393,2;68639,1;68646,1;68884,1;68886,1;68887,2;68888,1;69179,1;69181,2;69183,1;69184,1;69533,2;69534,1;69535,2;69538,2;69539,2;69540,2;69542,1;69812,1;69813,1;69817,2;69819,1;70163,2;70164,4;70166,1;70168,1;70420,1;70422,1;70423,1;70424,1;70743,1;70745,2;70749,3;70916,1;70917,1;70919,1;70920,1;70922,1;71357,1;71359,6;71361,2;71617,2;71618,1;71621,1;71835,1;71836,1;71839,1;71842,3;71843,1;72114,1;72115,1;72116,1;72119,2;72392,2;72393,3;72394,2;72398,1;72630,3;72631,1;72633,1;72634,1;72932,1;72934,2;72936,1;72937,1;72938,1;72939,1;73182,1;73184,1;73189,1;73190,2;73430,1;73432,3;73433,2;73434,4;73436,3;73685,1;73687,1;73877,2;73879,5;73881,1;73884,1;74169,2;74171,1;74173,2;74450,1;74451,1;74454,2;74744,2;74746,2;74748,3;74749,3;75064,1;75066,2;75067,2;75068,1;75069,3;75458,1;75459,3;75460,1;75461,1;75462,1;75788,1;75791,1;75794,2;76209,1;76213,1
ministre	67068,1;67071,1;68888,2;70914,1;70915,1;71620,1;71837,3;72933,1;74456,1;74746,3
enseignement	67068,1;67071,1;67795,2;67944,1;68277,1;68392,1;68393,1;69181,1;69536,3;70169,1;70426,1;70743,1;70748,1;70914,1;70920,1;70923,2;71357,1;71362,2;71620,1;71837,1;72394,1;72637,2;72936,1;72938,1;73430,1;73437,1;73876,1;74175,1;74746,1;76513,1
recherche	67068,5;67071,6;67383,4;67385,1;67386,1;67388,2;67555,1;67556,3;67794,2;67795,2;67797,1;67798,1;67802,3;67941,1;67943,1;67945,1;67946,1;68273,1;68275,3;68277,5;68278,1;68283,1;68384,4;68385,3;68386,4;68387,3;68391,1;68392,2;68393,3;68639,6;68642,3;68644,1;68882,1;68883,1;68885,5;68887,1;68888,2;69178,2;69181,6;69184,1;69533,2;69534,1;69536,4;69537,2;69538,2;69812,2;69816,2;69817,1;69818,1;69819,1;69820,3;69821,1;70161,1;70164,2;70420,1;70423,2;70426,2;70428,2;70429,1;70743,2;70744,1;70745,3;70748,2;70749,3;70753,4;70914,2;70915,2;70916,1;70921,1;71357,2;71358,9;71359,6;71361,5;71363,1;71615,1;71618,1;71620,2;71837,3;71838,1;71841,1;72117,1;72118,2;72122,1;72392,1;72393,4;72394,5;72398,4;72400,1;72629,1;72630,2;72631,3;72634,2;72637,2;72933,1;73182,1;73184,8;73187,1;73189,1;73432,2;73433,1;73435,1;73436,2;73683,1;73685,2;73687,1;73689,1;73690,3;73691,1;73877,5;73882,2;73883,3;73884,2;74169,1;74172,2;74449,2;74453,1;74457,1;74744,9;74745,1;74746,2;74748,1;74749,4;75064,1;75065,1;75066,1;75067,1;75068,3;75069,3;75458,2;75459,4;75460,2;75461,1;75788,1;75793,1;75794,1;75796,1;76206,1;76213,1;76507,1;76510,1;76511,1;76512,1;76515,2
origine	67068,1;67388,1;67555,1;67558,1;68885,1;69177,1;69534,1;69539,1;70423,1;71614,1;72116,1;73186,1;73431,1;74744,1;75067,1;75069,1
souhaite	67068,2;68273,2;68642,1;68643,3;71618,1;73687,1;74455,1;74748,2;74752,1;75461,1;75462,1
ainsi	67068,4;67385,3;67387,1;67389,3;67390,2;67391,1;67553,1;67554,1;67555,3;67556,2;67558,4;67796,1;67797,1;67798,2;67799,2;67800,1;67801,1;67802,2;67803,1;67939,3;67940,1;67942,1;67943,1;67944,1;68273,1;68275,1;68278,1;68279,2;68281,2;68283,1;68384,1;68385,1;68386,1;68388,3;68389,1;68391,1;68640,1;68642,1;68644,1;68645,2;68646,1;68882,1;68883,1;68884,2;68885,3;68887,1;68888,1;69177,1;69178,1;69179,1;69181,1;69183,1;69184,1;69185,1;69533,2;69534,1;69535,1;69536,3;69537,2;69539,3;69540,3;69541,1;69812,1;69813,1;69817,1;69818,1;69819,1;70162,4;70166,2;70167,1;70169,1;70170,1;70421,2;70425,1;70426,1;70745,1;70746,2;70748,1;70753,1;70917,1;70919,1;70920,1;70922,1;70923,1;71357,1;71358,2;71359,2;71362,3;71363,1;71366,1;71615,1;71617,3;71836,1;71838,1;71841,1;71842,1;72113,1;72116,2;72393,1;72395,1;72396,3;72397,1;72398,1;72630,6;72631,1;72632,1;72637,1;72934,1;72935,2;72936,1;72938,1;73183,2;73184,3;73185,1;73186,1;73188,1;73190,2;73432,1;73434,1;73437,1;73685,1;73689,2;73875,1;73878,2;73879,1;73880,1;73881,1;73884,1;74169,2;74172,1;74449,1;74453,1;74454,1;74746,2;74747,2;74749,1;74750,1;74751,2;75066,1;75068,2;75069,1;75070,1;75457,1;75459,1;75461,1;75462,2;75465,1;75788,1;75794,2;75796,1;76210,1;76212,1;76510,1;76515,1
honorer	67068,1
